frame.time,ip.src_host,ip.dst_host,arp.dst.proto_ipv4,arp.opcode,arp.hw.size,arp.src.proto_ipv4,icmp.checksum,icmp.seq_le,icmp.transmit_timestamp,icmp.unused,http.file_data,http.content_length,http.request.uri.query,http.request.method,http.referer,http.request.full_uri,http.request.version,http.response,http.tls_port,tcp.ack,tcp.ack_raw,tcp.checksum,tcp.connection.fin,tcp.connection.rst,tcp.connection.syn,tcp.connection.synack,tcp.dstport,tcp.flags,tcp.flags.ack,tcp.len,tcp.options,tcp.payload,tcp.seq,tcp.srcport,udp.port,udp.stream,udp.time_delta,dns.qry.name,dns.qry.name.len,dns.qry.qu,dns.qry.type,dns.retransmission,dns.retransmit_request,dns.retransmit_request_in,mqtt.conack.flags,mqtt.conflag.cleansess,mqtt.conflags,mqtt.hdrflags,mqtt.len,mqtt.msg_decoded_as,mqtt.msg,mqtt.msgtype,mqtt.proto_len,mqtt.protoname,mqtt.topic,mqtt.topic_len,mqtt.ver,mbtcp.len,mbtcp.trans_id,mbtcp.unit_id,predicted_type,Attack_label
"May  3, 2025 09:51:38.509882578 IST",172.20.10.4,172.20.10.3,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,457262525,0x00003546,0,0,0,0,1883,0x00000018,1,45,0.0,30:2b:00:1e:65:73:70:33:32:2f:54:65:6d:70:65:72:61:74:75:72:65:5f:61:6e:64:5f:48:75:6d:69:64:69:74:79:33:32:2e:33:30:20:37:35:2e:30:30,1,50477.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0x00000030,43,0,33:32:2e:33:30:20:37:35:2e:30:30,3,0,0.0,esp32/Temperature_and_Humidity,30,0,0,0,0,Normal,0
"May  3, 2025 09:51:38.509970393 IST",172.20.10.3,172.20.10.4,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1561941529,0x000068b9,0,0,0,0,50477,0x00000010,1,0,0.0,0.0,1,1883.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,DDoS_UDP,0
"May  3, 2025 09:51:38.809202939 IST",172.20.10.4,172.20.10.3,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,457262525,0x0000f63b,0,0,0,0,1883,0x00000018,1,30,0.0,30:1c:00:0a:65:73:70:33:32:2f:74:61:6e:6b:7b:22:77:6c:22:3a:31:35:2c:22:74:73:22:3a:32:7d,46,50477.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0x00000030,28,0,7b:22:77:6c:22:3a:31:35:2c:22:74:73:22:3a:32:7d,3,0,0.0,esp32/tank,10,0,0,0,0,Normal,0
"May  3, 2025 09:51:38.809281551 IST",172.20.10.3,172.20.10.4,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1561941559,0x0000689b,0,0,0,0,50477,0x00000010,1,0,0.0,0.0,1,1883.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,DDoS_UDP,0
"May  3, 2025 09:51:38.969843434 IST",0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71674731,0x0000ab2b,0,0,0,0,52632,0x00000018,1,27,0.0,00:09:90:71:b4:8b:96:9f:34:c1:15:22:93:dc:f0:9a:c4:6f:66:a7:dd:a0:24:fb:46:e3:ba,1,5900.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,DDoS_UDP,0
"May  3, 2025 09:51:38.993926440 IST",172.20.10.3,172.20.10.1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,39859,0,0.0,mobile.events.data.microsoft.com,32.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,DDoS_UDP,0
"May  3, 2025 09:51:38.994029181 IST",172.20.10.3,172.20.10.1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,39859,0,0.000102741,mobile.events.data.microsoft.com,32.0,0,28,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,SQL_injection,0
"May  3, 2025 09:51:39.004174630 IST",0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,653394231,0x00002f76,0,0,0,0,5900,0x00000018,1,27,0.0,00:09:93:5a:2a:cb:0a:cc:25:1a:35:60:2c:63:61:88:70:c3:d4:f0:ad:7a:6c:f2:88:c4:ba,1,52632.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,DDoS_UDP,0
"May  3, 2025 09:51:39.004384428 IST",0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,71674758,0x0000aa9b,0,0,0,0,52632,0x00000018,1,27,0.0,00:09:8d:35:1c:e0:b5:bc:a4:29:ca:52:60:2e:6b:06:dd:23:93:e3:02:31:c3:9f:a5:8c:63,28,5900.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,DDoS_UDP,0
"May  3, 2025 09:51:39.016771590 IST",172.20.10.1,172.20.10.3,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,53,0,0.022742409,mobile.events.data.microsoft.com,32.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,DDoS_UDP,0
"May  3, 2025 09:51:39.067944134 IST",0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,653394258,0x0000ee9d,0,0,0,0,5900,0x00000018,1,27,0.0,00:09:70:54:b2:1a:50:8f:38:85:f7:64:bb:c3:27:af:52:cb:aa:60:c6:2b:f2:d4:73:57:e5,28,52632.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,DDoS_UDP,0
"May  3, 2025 09:51:39.070016791 IST",0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,653394285,0x00008375,0,0,0,0,5900,0x00000010,1,0,0.0,0.0,55,52632.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,DDoS_UDP,0
"May  3, 2025 09:51:39.108770765 IST",0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,71674785,0x0000837a,0,0,0,0,52632,0x00000010,1,0,0.0,0.0,55,5900.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,DDoS_UDP,0
"May  3, 2025 09:51:39.131829434 IST",172.20.10.1,172.20.10.3,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,53,0,0.115057844,mobile.events.data.microsoft.com,32.0,0,28,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,SQL_injection,0
"May  3, 2025 09:51:39.132853883 IST",172.20.10.3,52.182.143.210,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x0000ba5b,0,0,Connection establish request (SYN): server port 443,0,443,0x00000002,0,0,02:04:05:b4:04:02:08:0a:13:d9:96:43:00:00:00:00:01:03:03:07,0.0,0,59430.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,DDoS_UDP,0
